# Order-6 pyrochlore NLCE, dipole-octupole XYZ, bare sum.
# Blank where the order-6 and order-5 bare sums differ by more than 2%.
temperature_K,C_A
2.00000000e-02,nan
2.06344387e-02,nan
2.12890030e-02,nan
2.19643313e-02,nan
2.26610824e-02,nan
2.33799357e-02,nan
2.41215925e-02,nan
2.48867760e-02,nan
2.56762327e-02,nan
2.64907324e-02,nan
2.73310697e-02,nan
2.81980640e-02,nan
2.90925611e-02,nan
3.00154334e-02,nan
3.09675810e-02,nan
3.19499326e-02,nan
3.29634462e-02,nan
3.40091104e-02,nan
3.50879452e-02,nan
3.62010026e-02,nan
3.73493684e-02,nan
3.85341626e-02,nan
3.97565408e-02,nan
4.10176951e-02,nan
4.23188557e-02,nan
4.36612916e-02,nan
4.50463122e-02,nan
4.64752683e-02,nan
4.79495537e-02,nan
4.94706062e-02,nan
5.10399095e-02,nan
5.26589941e-02,nan
5.43294392e-02,nan
5.60528741e-02,nan
5.78309796e-02,nan
5.96654901e-02,nan
6.15581948e-02,nan
6.35109398e-02,nan
6.55256296e-02,nan
6.76042293e-02,nan
6.97487661e-02,nan
7.19613318e-02,nan
7.42440844e-02,nan
7.65992503e-02,nan
7.90291266e-02,nan
8.15360833e-02,nan
8.41225656e-02,nan
8.67910960e-02,nan
8.95442773e-02,nan
9.23847950e-02,nan
9.53154193e-02,nan
9.83390087e-02,nan
1.01458512e-01,nan
1.04676972e-01,nan
1.07997528e-01,nan
1.11423419e-01,nan
1.14957985e-01,nan
1.18604674e-01,nan
1.22367044e-01,nan
1.26248763e-01,nan
1.30253618e-01,nan
1.34385515e-01,nan
1.38648483e-01,nan
1.43046681e-01,nan
1.47584398e-01,nan
1.52266061e-01,nan
1.57096235e-01,nan
1.62079631e-01,nan
1.67221110e-01,nan
1.72525687e-01,1.71423448e+00
1.77998536e-01,1.69890778e+00
1.83644993e-01,1.68086909e+00
1.89470568e-01,1.66050672e+00
1.95480940e-01,1.63815552e+00
2.01681974e-01,1.61410952e+00
2.08079716e-01,1.58863067e+00
2.14680407e-01,1.56195471e+00
2.21490484e-01,1.53429476e+00
2.28516591e-01,1.50584417e+00
2.35765579e-01,1.47677757e+00
2.43244519e-01,1.44725218e+00
2.50960705e-01,1.41740826e+00
2.58921664e-01,1.38736987e+00
2.67135160e-01,1.35724524e+00
2.75609204e-01,1.32712765e+00
2.84352060e-01,1.29709612e+00
2.93372258e-01,1.26721631e+00
3.02678593e-01,1.23754160e+00
3.12280143e-01,1.20811422e+00
3.22186273e-01,1.17896648e+00
3.32406644e-01,1.15012197e+00
3.42951226e-01,1.12159693e+00
3.53830302e-01,1.09340137e+00
3.65054483e-01,1.06554037e+00
3.76634717e-01,1.03801517e+00
3.88582298e-01,1.01082420e+00
4.00908880e-01,9.83964062e-01
4.13626485e-01,9.57430309e-01
4.26747517e-01,9.31218217e-01
4.40284773e-01,9.05323322e-01
4.54251458e-01,8.79741940e-01
4.68661192e-01,8.54471503e-01
4.83528031e-01,8.29510846e-01
4.98866475e-01,8.04860349e-01
5.14691484e-01,7.80522042e-01
5.31018493e-01,7.56499569e-01
5.47863427e-01,7.32798173e-01
5.65242714e-01,7.09424545e-01
5.83173306e-01,6.86386686e-01
6.01672690e-01,6.63693716e-01
6.20758911e-01,6.41355667e-01
6.40450584e-01,6.19383258e-01
6.60766915e-01,5.97787663e-01
6.81727719e-01,5.76580296e-01
