# Digitized from Fig. 2(a), Smith et al., Phys. Rev. Lett. 135, 086702 (2025), arXiv:2501.08327v5.
# Visual-comparison data only; no experimental uncertainties were inferred from the raster image.
# Source Figure2.png SHA256: cc2f9ea660b8c26320557734d337c7513be6073be95143750412e0d6c87646a9.
# Calibration from plotted ticks: x=389.5 -> 0.1 K, x=726.5 -> 1 K; y=699.5 -> 0, 138.0 px per 0.5 J mol_Ce^-1 K^-1.
series,temperature_K,Cmag_J_molCe_K
experiment,0.0206319397,1.93297101
experiment,0.0212035948,1.94384058
experiment,0.0217910889,2.08967391
experiment,0.0223948608,2.1557971
experiment,0.0230153617,2.22373188
experiment,0.0236530549,2.25
experiment,0.0243084169,2.23188406
experiment,0.0249819372,2.22282609
experiment,0.0256741189,2.1884058
experiment,0.0263854791,2.1557971
experiment,0.0271165492,2.12137681
experiment,0.0278678752,2.08967391
experiment,0.0286400185,2.08152174
experiment,0.0294335557,1.99818841
experiment,0.0302490797,1.9692029
experiment,0.0310871997,1.95652174
experiment,0.0319485416,1.92844203
experiment,0.0328337491,1.93478261
experiment,0.0337434832,1.93025362
experiment,0.0346784236,1.89673913
experiment,0.0356392687,1.89492754
experiment,0.0366267361,1.89402174
experiment,0.0376415636,1.88586957
experiment,0.0386845093,1.88043478
experiment,0.0397563521,1.88134058
experiment,0.0408578928,1.89130435
experiment,0.0419899542,1.88405797
experiment,0.0431533819,1.88949275
experiment,0.0443490451,1.88949275
experiment,0.0455778368,1.89673913
experiment,0.0468406751,1.9076087
experiment,0.0481385031,1.89311594
experiment,0.0494722905,1.90217391
experiment,0.0508430335,1.90217391
experiment,0.052251756,1.90398551
experiment,0.0536995104,1.91394928
experiment,0.0551873782,1.91485507
experiment,0.0567164708,1.93115942
experiment,0.0582879304,1.93568841
experiment,0.0599029308,1.92934783
experiment,0.0615626785,1.94565217
experiment,0.0632684134,1.94927536
experiment,0.0650214095,1.94927536
experiment,0.0668229764,1.94746377
experiment,0.0686744599,1.9375
experiment,0.0705772429,1.92572464
experiment,0.0725327468,1.93025362
experiment,0.0745424325,1.92391304
experiment,0.0766078011,1.92119565
experiment,0.0787303955,1.91213768
experiment,0.0809118012,1.91394928
experiment,0.0831536478,1.91032609
experiment,0.0854576098,1.89945652
experiment,0.0878254084,1.88677536
experiment,0.0902588123,1.88043478
experiment,0.0927596391,1.87137681
experiment,0.0953297571,1.86956522
experiment,0.0979710861,1.86684783
experiment,0.100685599,1.85144928
experiment,0.103475324,1.84782609
experiment,0.106342345,1.8451087
experiment,0.109288803,1.83152174
experiment,0.112316899,1.82246377
experiment,0.115428895,1.82789855
experiment,0.118627117,1.82336957
experiment,0.121913953,1.8125
experiment,0.125291858,1.80434783
experiment,0.128763355,1.79891304
experiment,0.132331039,1.77717391
experiment,0.135997573,1.76630435
experiment,0.139765697,1.76086957
experiment,0.143638225,1.74275362
experiment,0.147618051,1.72644928
experiment,0.151708146,1.71467391
experiment,0.155911568,1.70833333
experiment,0.160231454,1.66938406
experiment,0.164671033,1.65851449
experiment,0.169233621,1.64583333
experiment,0.173922626,1.63134058
experiment,0.17874155,1.60960145
experiment,0.183693993,1.56612319
experiment,0.188783656,1.56521739
experiment,0.194014339,1.51902174
experiment,0.19938995,1.51539855
experiment,0.204914505,1.47916667
experiment,0.21059213,1.47282609
experiment,0.216427066,1.44384058
experiment,0.222423673,1.41757246
experiment,0.22858643,1.39130435
experiment,0.23491994,1.375
experiment,0.241428934,1.36594203
experiment,0.248118275,1.32880435
experiment,0.25499296,1.32336957
experiment,0.262058123,1.29528986
experiment,0.269319043,1.28985507
experiment,0.276781143,1.25905797
experiment,0.284449998,1.22916667
experiment,0.292331336,1.21105072
experiment,0.300431044,1.19836957
experiment,0.308755173,1.17934783
experiment,0.318395821,1.1865942
experiment,0.32610174,1.16576087
experiment,0.335137134,1.13134058
experiment,0.344422875,1.13043478
experiment,0.353965899,1.0951087
experiment,0.363773334,1.0932971
experiment,0.373852507,1.06521739
experiment,0.384210945,1.04619565
experiment,0.394856389,1.01449275
experiment,0.405796788,1.00362319
experiment,0.417040317,0.973731884
experiment,0.428595373,0.970108696
