temperature_over_Jzz,heat_capacity_per_site,entropy_per_site,delta_log10_temperature,delta_heat_capacity_per_site,delta_entropy_per_site
0.0007002321894,0.03851683401,0,0.002,0.0015,0.002
0.0008996843167,0.1160301175,0.01839469816,0.002,0.0015,0.002
0.001100447383,0.1547068232,0.04552430891,0.002,0.0015,0.002
0.001300739469,0.1437002566,0.07049588238,0.002,0.0015,0.002
0.001499834733,0.1084915416,0.08889058142,0.002,0.0015,0.002
0.00170007251,0.1105329831,0.1024896407,0.002,0.0015,0.002
0.001899098891,0.1075446081,0.1147527731,0.002,0.0015,0.002
0.002100328111,0.09607072373,0.1248236134,0.002,0.0015,0.002
0.002300221281,0.07200385151,0.1327021626,0.002,0.0015,0.002
0.002500806758,0.06870803038,0.1383884188,0.002,0.0015,0.002
0.002698579556,0.07452490841,0.1440746759,0.002,0.0015,0.002
0.002898034194,0.06006264901,0.1489045687,0.002,0.0015,0.002
0.003104464118,0.0525117756,0.1523985337,0.002,0.0015,0.002
0.003300763118,0.04528064559,0.155481444,0.002,0.0015,0.002
0.003501389296,0.04748195909,0.1585300995,0.002,0.0015,0.002
0.00370494104,0.04150520904,0.1607223916,0.002,0.0015,0.002
0.003901533968,0.02593614377,0.1624693741,0.002,0.0015,0.002
0.009999999951,0.009112699171,0.185693965,0.002,0.0015,0.002
0.03006399866,0.001574123363,0.1953194967,0.002,0.0015,0.002
0.05000326105,0.01068682285,0.1979570974,0.002,0.0015,0.002
0.07000976117,0.04055827518,0.2058356457,0.002,0.0015,0.002
0.09017617654,0.08474441314,0.2211474336,0.002,0.0015,0.002
0.1100447378,0.1331733061,0.2426250429,0.002,0.0015,0.002
0.1300489474,0.1782940797,0.2684529798,0.002,0.0015,0.002
0.150358694,0.2135150925,0.2964732097,0.002,0.0015,0.002
0.170432567,0.2385166007,0.3249387482,0.002,0.0015,0.002
0.1903484065,0.2536060499,0.3521026137,0.002,0.0015,0.002
